64, 1
66, 4
117, 32
50, 14
135, 6
124, 24
153, 20
116, 26
123, 24
146, 1
166, 8
207, 12
35, 1
93, 8
182, 25
65, 0
88, 8
147, 5
235, 6
97, 1
40, 11
111, 36
36, 19
173, 6
81, 2
75, 20
233, 2
228, 14
210, 12
72, 8
85, 18
34, 5
108, 12
42, 2
27, 3
163, 19
84, 0
130, 18
214, 4
118, 16
198, 0
230, 4
60, 4
58, 24
169, 26
150, 20
179, 2
160, 4
168, 10
222, 12
242, 3
33, 2
115, 22
180, 36
59, 5
69, 6
98, 5
223, 4
101, 28
110, 16
103, 4
155, 8
74, 0
46, 9
70, 29
241, 4
83, 0
138, 13
86, 3
114, 27
28, 19
71, 8
26, 14
102, 1
31, 26
193, 17
148, 10
44, 10
152, 1
188, 37
120, 4
104, 18
149, 10
137, 9
45, 13
129, 14
154, 37
67, 8
141, 11
170, 2
126, 18
113, 12
133, 2
174, 7
63, 2
57, 4
177, 13
161, 3
109, 10
105, 5
