97, 3
63, 9
137, 20
122, 2
128, 2
234, 17
98, 1
145, 1
142, 9
69, 5
155, 24
116, 17
158, 0
146, 6
113, 12
135, 2
171, 13
50, 16
94, 24
115, 13
223, 12
61, 6
149, 14
182, 20
32, 4
153, 14
235, 16
55, 12
90, 13
40, 3
244, 5
48, 16
130, 11
129, 12
187, 2
89, 5
181, 12
75, 10
100, 8
233, 21
152, 2
198, 8
93, 10
148, 21
160, 9
108, 5
34, 5
73, 0
30, 5
70, 2
147, 1
62, 23
207, 2
222, 21
150, 17
27, 8
105, 2
60, 1
44, 2
59, 3
28, 23
162, 18
72, 24
180, 3
57, 2
81, 5
133, 23
163, 5
35, 15
85, 18
161, 15
114, 31
170, 2
169, 7
53, 10
91, 3
66, 5
151, 12
167, 21
138, 14
188, 23
159, 6
106, 38
119, 5
165, 8
154, 37
241, 6
99, 3
139, 18
236, 2
117, 4
56, 8
101, 14
87, 12
103, 19
43, 0
228, 1
214, 0
157, 22
26, 6
242, 2
173, 18
65, 11
164, 8
96, 38
86, 5
36, 14
45, 15
42, 9
29, 6
46, 6
83, 19
174, 23
194, 2
118, 14
107, 10
124, 7
95, 9
88, 12
52, 6
202, 22
71, 0
110, 13
193, 26
112, 11
221, 16
64, 7
92, 14
58, 23
74, 6
39, 9
41, 0
51, 0
80, 17
84, 6
111, 20
33, 9
54, 0
102, 7
104, 8
168, 4
67, 3
141, 14
218, 7
82, 15
126, 39
123, 7
179, 0
177, 13
166, 6
120, 36
210, 9
31, 23
37, 1
76, 4
230, 4
109, 18
68, 37
